,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,Winter,Spring,Summer,Fall
0,1972,46.7,42.6,52.4,61.3,66.4,72.2,76.7,77.6,74.6,61.1,49.6,48.3,60.8,45.9,60.0,75.5,61.8
1,1973,41.4,42.8,57.4,57.5,65.0,75.6,78.9,77.3,75.5,64.6,55.6,44.1,61.3,42.8,60.0,77.3,65.2
2,1974,53.2,45.8,57.8,61.1,71.0,72.5,77.8,76.7,70.2,61.3,52.4,44.3,62.0,47.8,63.3,75.7,61.3
3,1975,47.1,47.1,50.4,59.8,71.0,75.3,76.4,77.9,70.3,63.3,54.0,43.3,61.3,45.8,60.4,76.5,62.5
4,1976,38.5,51.5,56.4,61.6,65.4,73.8,76.4,75.9,69.8,56.2,44.2,39.8,59.1,43.3,61.1,75.4,56.7
5,1977,29.3,42.0,55.2,63.0,69.9,77.0,79.5,77.7,73.5,59.6,54.3,42.1,60.3,37.8,62.7,78.1,62.5
6,1978,33.6,39.3,51.6,61.5,67.5,76.2,78.6,78.3,76.3,62.5,58.5,46.1,60.8,39.7,60.2,77.7,65.8
7,1979,37.3,41.7,56.2,62.7,70.1,75.7,78.8,80.1,72.7,62.4,54.3,46.7,61.6,41.9,63.0,78.2,63.1
8,1980,44.9,41.9,52.1,62.6,72.0,79.1,85.1,83.8,78.8,61.5,51.8,44.9,63.2,43.9,62.2,82.7,64.0
9,1981,39.4,46.8,51.8,67.7,67.6,81.2,82.2,77.7,72.4,60.1,54.5,39.1,61.7,41.8,62.4,80.4,62.3
10,1982,38.4,47.4,56.5,58.4,72.5,76.3,79.1,77.4,70.5,62.7,53.6,49.9,61.9,45.2,62.5,77.6,62.3
11,1983,40.3,44.4,51.3,56.4,67.8,74.0,81.4,81.3,70.8,62.1,51.5,39.9,60.1,41.5,58.5,78.9,61.5
12,1984,39.6,47.4,51.7,58.1,67.4,78.3,76.8,77.5,71.3,69.8,50.6,53.7,61.9,46.9,59.1,77.5,63.9
13,1985,36.2,44.2,56.7,64.0,69.8,77.5,78.3,77.6,72.5,66.3,62.0,41.4,62.2,40.6,63.5,77.8,66.9
14,1986,43.4,49.7,54.4,62.9,71.0,79.9,84.1,77.4,74.6,64.0,57.8,45.1,63.7,46.1,62.8,80.5,65.5
15,1987,41.9,45.7,53.2,60.3,73.2,77.8,81.0,81.9,74.1,59.7,55.7,48.8,62.8,45.5,62.2,80.2,63.2
16,1988,39.2,45.5,54.9,62.9,69.9,78.6,80.5,81.0,73.3,59.3,55.0,46.5,62.2,43.7,62.6,80.0,62.5
17,1989,49.7,47.5,56.8,62.8,68.8,76.8,79.8,79.4,72.9,64.1,54.3,39.1,62.7,45.4,62.8,78.7,63.8
18,1990,49.8,54.3,57.6,61.9,70.3,78.6,80.5,80.5,75.7,64.4,56.5,49.1,64.9,51.1,63.3,79.9,65.5
19,1991,44.3,49.2,56.2,65.9,72.8,76.7,80.9,79.2,74.7,64.6,50.9,49.1,63.7,47.5,65.0,78.9,63.4
20,1992,45.0,51.8,54.0,61.9,68.1,74.5,80.2,76.0,73.2,61.9,51.5,44.5,61.9,47.1,61.3,76.9,62.2
21,1993,47.0,45.1,51.7,59.4,71.1,79.3,85.3,82.1,76.7,63.2,53.8,45.2,63.3,45.8,60.7,82.2,64.6
